Name,Crossing Number,Genus-3D,Bridge Index,Braid Index,Alexander
10_43,10,3,2,5,1-7*t+ 17*t^2-23*t^3+ 17*t^4-7*t^5+ t^6
10_44,10,3,2,5,1-7*t+ 19*t^2-25*t^3+ 19*t^4-7*t^5+ t^6
10_45,10,3,2,5,1-7*t+ 21*t^2-31*t^3+ 21*t^4-7*t^5+ t^6
10_46,10,4,3,3,1-3*t+ 4*t^2-5*t^3+ 5*t^4-5*t^5+ 4*t^6-3*t^7+ t^8
10_47,10,4,3,3,1-3*t+ 6*t^2-7*t^3+ 7*t^4-7*t^5+ 6*t^6-3*t^7+ t^8
10_48,10,4,3,3,1-3*t+ 6*t^2-9*t^3+ 11*t^4-9*t^5+ 6*t^6-3*t^7+ t^8
10_49,10,3,3,4,3-8*t+ 12*t^2-13*t^3+ 12*t^4-8*t^5+ 3*t^6
10_50,10,3,3,4,2-7*t+ 11*t^2-13*t^3+ 11*t^4-7*t^5+ 2*t^6
10_51,10,3,3,4,2-7*t+ 15*t^2-19*t^3+ 15*t^4-7*t^5+ 2*t^6
10_52,10,3,3,4,2-7*t+ 13*t^2-15*t^3+ 13*t^4-7*t^5+ 2*t^6
10_53,10,2,3,5,6-18*t+ 25*t^2-18*t^3+ 6*t^4
10_54,10,3,3,4,2-6*t+ 10*t^2-11*t^3+ 10*t^4-6*t^5+ 2*t^6
10_55,10,2,3,5,5-15*t+ 21*t^2-15*t^3+ 5*t^4
10_56,10,3,3,4,2-8*t+ 14*t^2-17*t^3+ 14*t^4-8*t^5+ 2*t^6
10_57,10,3,3,4,2-8*t+ 18*t^2-23*t^3+ 18*t^4-8*t^5+ 2*t^6
10_58,10,2,3,6,3-16*t+ 27*t^2-16*t^3+ 3*t^4
10_59,10,3,3,5,1-7*t+ 18*t^2-23*t^3+ 18*t^4-7*t^5+ t^6
10_60,10,3,3,5,1-7*t+ 20*t^2-29*t^3+ 20*t^4-7*t^5+ t^6
10_61,10,3,3,4,2-5*t+ 6*t^2-7*t^3+ 6*t^4-5*t^5+ 2*t^6
10_62,10,4,3,3,1-3*t+ 6*t^2-8*t^3+ 9*t^4-8*t^5+ 6*t^6-3*t^7+ t^8
10_63,10,2,3,5,5-14*t+ 19*t^2-14*t^3+ 5*t^4
